source,raw_value,canonical_key,occurrences,domain_hints,match_tier,canonical_account_id,canonical_account_name,domain_group,match_method,match_evidence,competing_candidates
connections.company,Ambrose Trading,ambrosetrading,248,,E_unmatched,,,,no_candidate,'Ambrose Trading' has no CRM account within similarity threshold,
connections.company,Apex Logistics,apexlogistics,2,,B_probable_shared_domain_group,,,DG_apexlogistics.com,normalized_name_exact_shared_domain,name 'apex logistics' matches 2 CRM records sharing one domain,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics"
connections.company,Apex Logistics Group,apexlogistics,1,,B_probable_shared_domain_group,,,DG_apexlogistics.com,normalized_name_exact_shared_domain,name 'apex logistics' matches 2 CRM records sharing one domain,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics"
connections.company,Bellchamber Media,bellchambermedia,253,,E_unmatched,,,,no_candidate,'Bellchamber Media' has no CRM account within similarity threshold,
connections.company,Bexley Bioworks,bexleybioworks,7,,B_probable_name_exact,A1045,Bexley Bioworks,,normalized_name_exact,normalized name 'bexley bioworks' matches one CRM account,
connections.company,Blackwood Industrial,blackwoodindustrial,5,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Blackwood Industrial' resembles CRM account 'Blackwood Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1010:Blackwood Holdings(62.1)
connections.company,Brightmoor Energy,brightmoorenergy,1,,B_probable_shared_domain_group,,,DG_brightmoorenergy.com,normalized_name_exact_shared_domain,name 'brightmoor energy' matches 2 CRM records sharing one domain,A91006:Brightmoor Energy Inc; A1006:Brightmoor Energy
connections.company,Calderon Aerospace,calderonaerospace,4,,E_unmatched,,,,no_candidate,'Calderon Aerospace' has no CRM account within similarity threshold,
connections.company,Cindermill Mining,cindermillmining,6,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Cindermill Mining' resembles CRM account 'Cindermill Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1025:Cindermill Holdings(74.1)
connections.company,Cobalt Lane Capital Markets,cobaltlanecapitalmarkets,2,,B_probable_name_exact,A1038,Cobalt Lane Capital Markets,,normalized_name_exact,normalized name 'cobalt lane capital markets' matches one CRM account,
connections.company,Corbridge Realty,corbridgerealty,271,,E_unmatched,,,,no_candidate,'Corbridge Realty' has no CRM account within similarity threshold,
connections.company,Dunmowe Travel,dunmowetravel,252,,E_unmatched,,,,no_candidate,'Dunmowe Travel' has no CRM account within similarity threshold,
connections.company,Ellerby Semiconductor,ellerbysemiconductor,2,,B_probable_shared_domain_group,,,DG_ellerbysemi.com,normalized_name_exact_shared_domain,name 'ellerby semiconductor' matches 2 CRM records sharing one domain,"A91020:Ellerby Semiconductor, Inc.; A1020:Ellerby Semiconductor"
connections.company,Elmsworth Tutors,elmsworthtutors,253,,E_unmatched,,,,no_candidate,'Elmsworth Tutors' has no CRM account within similarity threshold,
connections.company,Fairbourne Fitness,fairbournefitness,251,,E_unmatched,,,,no_candidate,'Fairbourne Fitness' has no CRM account within similarity threshold,
connections.company,Falkirk Shipping,falkirkshipping,4,,B_probable_name_exact,A1040,Falkirk Shipping,,normalized_name_exact,normalized name 'falkirk shipping' matches one CRM account,
connections.company,Garrowby Books,garrowbybooks,217,,E_unmatched,,,,no_candidate,'Garrowby Books' has no CRM account within similarity threshold,
connections.company,Glasspoint Health,glasspointhealth,2,,B_probable_name_exact,A1017,Glasspoint Health,,normalized_name_exact,normalized name 'glasspoint health' matches one CRM account,
connections.company,Gravenhurst Motors,gravenhurstmotors,2,,B_probable_name_exact,A1041,Gravenhurst Motors,,normalized_name_exact,normalized name 'gravenhurst motors' matches one CRM account,
connections.company,Harrowgate Health,harrowgatehealth,6,,B_probable_name_exact,A1050,Harrowgate Health,,normalized_name_exact,normalized name 'harrowgate health' matches one CRM account,
connections.company,Highmoor Cycles,highmoorcycles,238,,E_unmatched,,,,no_candidate,'Highmoor Cycles' has no CRM account within similarity threshold,
connections.company,Hollowbrook Grocers,hollowbrookgrocers,2,,B_probable_shared_domain_group,,,DG_hollowbrook.com,normalized_name_exact_shared_domain,name 'hollowbrook grocers' matches 2 CRM records sharing one domain,A1024:Hollowbrook Grocers; A91024:Hollowbrook Grocers Inc.
connections.company,Inglenook Bakery,inglenookbakery,279,,E_unmatched,,,,no_candidate,'Inglenook Bakery' has no CRM account within similarity threshold,
connections.company,Ironvale Steel,ironvalesteel,4,,B_probable_name_exact,A1009,Ironvale Steel,,normalized_name_exact,normalized name 'ironvale steel' matches one CRM account,
connections.company,Kingsmere Retail Group,kingsmereretail,4,,E_unmatched,,,,no_candidate,'Kingsmere Retail Group' has no CRM account within similarity threshold,
connections.company,Marchford Clinics,marchfordclinics,3,,B_probable_name_exact,A1018,Marchford Clinics,,normalized_name_exact,normalized name 'marchford clinics' matches one CRM account,
connections.company,Marlowe Freight Systems,marlowefreightsystems,1,,B_probable_name_exact,A1047,Marlowe Freight Systems,,normalized_name_exact,normalized name 'marlowe freight systems' matches one CRM account,
connections.company,Meridian Peak Foods,meridianpeakfoods,3,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Meridian Peak Foods' resembles CRM account 'Meridian Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1034:Meridian Holdings(59.3)
connections.company,Nortonbury Logistics,nortonburylogistics,6,,B_probable_name_exact,A1039,Nortonbury Logistics,,normalized_name_exact,normalized name 'nortonbury logistics' matches one CRM account,
connections.company,Ondermark Consulting,ondermarkconsulting,238,,E_unmatched,,,,no_candidate,'Ondermark Consulting' has no CRM account within similarity threshold,
connections.company,Pale Harbour Studio,paleharbourstudio,232,,E_unmatched,,,,no_candidate,'Pale Harbour Studio' has no CRM account within similarity threshold,
connections.company,Priorwood Chemicals,priorwoodchemicals,4,,B_probable_name_exact,A1030,Priorwood Chemicals,,normalized_name_exact,normalized name 'priorwood chemicals' matches one CRM account,
connections.company,Quillon Pharma,quillonpharma,8,,B_probable_name_exact,A1019,Quillon Pharma,,normalized_name_exact,normalized name 'quillon pharma' matches one CRM account,
connections.company,Quintrell Advisory,quintrelladvisory,238,,E_unmatched,,,,no_candidate,'Quintrell Advisory' has no CRM account within similarity threshold,
connections.company,Redtree Foods,redtreefoods,3,,E_unmatched,,,,no_candidate,'Redtree Foods' has no CRM account within similarity threshold,
connections.company,Rooksby Legal,rooksbylegal,244,,E_unmatched,,,,no_candidate,'Rooksby Legal' has no CRM account within similarity threshold,
connections.company,Silverbrook Paper,silverbrookpaper,1,,B_probable_shared_domain_group,,,DG_silverbrookpaper.com,normalized_name_exact_shared_domain,name 'silverbrook paper' matches 2 CRM records sharing one domain,A91032:Silverbrook Paper Corp; A1032:Silverbrook Paper
connections.company,Strathmore Rail,strathmorerail,6,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Strathmore Rail' resembles CRM account 'Strathmore Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1026:Strathmore Holdings(80.0)
connections.company,Tannerly Design,tannerlydesign,291,,E_unmatched,,,,no_candidate,'Tannerly Design' has no CRM account within similarity threshold,
connections.company,Tessellate Payments,tessellatepayments,4,,B_probable_name_exact,A1037,Tessellate Payments,,normalized_name_exact,normalized name 'tessellate payments' matches one CRM account,
connections.company,Underwood & Vale,underwoodvale,244,,E_unmatched,,,,no_candidate,'Underwood & Vale' has no CRM account within similarity threshold,
connections.company,Vantage Ridge Utilities,vantageridgeutilities,2,,B_probable_name_exact,A1007,Vantage Ridge Utilities,,normalized_name_exact,normalized name 'vantage ridge utilities' matches one CRM account,
connections.company,Vespermill Analytics,vespermillanalytics,250,,E_unmatched,,,,no_candidate,'Vespermill Analytics' has no CRM account within similarity threshold,
connections.company,Vireo Systems,vireosystems,2,,E_unmatched,,,,no_candidate,'Vireo Systems' has no CRM account within similarity threshold,
connections.company,Whitlock Staffing,whitlockstaffing,261,,E_unmatched,,,,no_candidate,'Whitlock Staffing' has no CRM account within similarity threshold,
connections.company,Wrenfield Robotics,wrenfieldrobotics,1,,B_probable_name_exact,A1036,WRENFIELDROBOTICS,,normalized_name_exact,normalized name 'wrenfield robotics' matches one CRM account,
connections.company,Xanthe Labs,xanthelabs,229,,E_unmatched,,,,no_candidate,'Xanthe Labs' has no CRM account within similarity threshold,
connections.company,Yardley Print,yardleyprint,242,,E_unmatched,,,,no_candidate,'Yardley Print' has no CRM account within similarity threshold,
connections.company,Yarrowdale Media,yarrowdalemedia,2,,B_probable_name_exact,A1028,Yarrowdale Media,,normalized_name_exact,normalized name 'yarrowdale media' matches one CRM account,
connections.company,Zenner Foods,zennerfoods,244,,E_unmatched,,,,no_candidate,'Zenner Foods' has no CRM account within similarity threshold,
intro_requests.target_company_raw,Aldergate Telecom,aldergatetelecom,1,,B_probable_name_exact,A1027,Aldergate Telecom,,normalized_name_exact,normalized name 'aldergate telecom' matches one CRM account,
intro_requests.target_company_raw,Apex Logistics,apexlogistics,3,,B_probable_shared_domain_group,,,DG_apexlogistics.com,normalized_name_exact_shared_domain,name 'apex logistics' matches 2 CRM records sharing one domain,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics"
intro_requests.target_company_raw,Apex Logistics Group,apexlogistics,2,,B_probable_shared_domain_group,,,DG_apexlogistics.com,normalized_name_exact_shared_domain,name 'apex logistics' matches 2 CRM records sharing one domain,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics"
intro_requests.target_company_raw,Ashgrove Agriculture,ashgroveagriculture,1,,B_probable_shared_domain_group,,,DG_ashgroveag.com,normalized_name_exact_shared_domain,name 'ashgrove agriculture' matches 2 CRM records sharing one domain,A91035:Ashgrove Agriculture Inc; A1035:Ashgrove Agriculture
intro_requests.target_company_raw,Bexley Bioworks,bexleybioworks,1,,B_probable_name_exact,A1045,Bexley Bioworks,,normalized_name_exact,normalized name 'bexley bioworks' matches one CRM account,
intro_requests.target_company_raw,Blackwood Industrial,blackwoodindustrial,4,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Blackwood Industrial' resembles CRM account 'Blackwood Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1010:Blackwood Holdings(62.1)
intro_requests.target_company_raw,Brightmoor Energy,brightmoorenergy,3,,B_probable_shared_domain_group,,,DG_brightmoorenergy.com,normalized_name_exact_shared_domain,name 'brightmoor energy' matches 2 CRM records sharing one domain,A91006:Brightmoor Energy Inc; A1006:Brightmoor Energy
intro_requests.target_company_raw,Calderon Aerospace,calderonaerospace,2,,E_unmatched,,,,no_candidate,'Calderon Aerospace' has no CRM account within similarity threshold,
intro_requests.target_company_raw,Cindermill Mining,cindermillmining,3,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Cindermill Mining' resembles CRM account 'Cindermill Holdings' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1025:Cindermill Holdings(74.1)
intro_requests.target_company_raw,Cobalt Lane,cobaltlane,2,,C_similar_but_distinct,,,,similar_name_conflicting_evidence,'Cobalt Lane' resembles CRM account 'Cobalt Lane Capital Markets' but no domain or id evidence supports the same entity; treated as a distinct entity with no CRM record,A1038:Cobalt Lane Capital Markets(57.9)
intro_requests.target_company_raw,Cobalt Lane Capital Markets,cobaltlanecapitalmarkets,1,,B_probable_name_exact,A1038,Cobalt Lane Capital Markets,,normalized_name_exact,normalized name 'cobalt lane capital markets' matches one CRM account,
intro_requests.target_company_raw,Copperline Water,copperlinewater,3,,E_unmatched,,,,no_candidate,'Copperline Water' has no CRM account within similarity threshold,
